,ORDER_NO,PRODUCT_CODE,ORDER_TYPE,TRANSFER_TYPE,MAIN_SOURCE,TRANSACTION_ID,TRANSACTION_TYPE,TRANSACTION_DATE,PENDING_TRANSACTION_TYPE,average_days,NEXT_TRXN_DATE_FORECAST
864,2024-11-648  ,81A945091B,Acil,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-15,Faturalandırıldı,1.0,2024-03-17
865,2024-10-304  ,576863011E LOE,Acil,Kamyon,SEAT,3.0000000000,Gönderildi,2024-03-13,Fatura Antrepo girişi,0.0,2024-03-13
866,2024-10-629  ,04E129620,Acil,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-11,Fatura Antrepo girişi,1.3333333333333333,2024-03-14
867,2024-10-629  ,04E129620,Acil,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-11,Gönderildi,0.0,2024-03-11
868,2024-10-629  ,04E129620,Acil,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-11,Fatura Antrepo girişi,1.3333333333333333,2024-03-14
869,2024-10-629  ,04E129620,Acil,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-11,Gönderildi,0.0,2024-03-11
870,2024-10-629  ,04E129620,Acil,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-11,Fatura Antrepo girişi,1.3333333333333333,2024-03-14
871,2024-10-629  ,04E129620,Acil,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-11,Gönderildi,0.0,2024-03-11
872,2024-10-741  ,059121075FF,Çok Acil,Express Uçak,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-06,Fatura Antrepo girişi,1.0,2024-03-08
873,2024-5-845   ,2K5810608A,Çok Acil,Express Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-02-06,Fatura Antrepo girişi,6.0,2024-02-21
874,2024-9-645   ,3G0853666  9B9,Acil,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-05,Fatura Antrepo girişi,5.0,2024-03-17
875,2024-11-513  ,3G0867165  RY1,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-12,Faturalandırıldı,2.0,2024-03-17
876,2024-9-645   ,5JA861369B 9B9,Acil,Kamyon,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-03-05,Fatura Antrepo girişi,5.5,2024-03-18
877,2024-2-770   ,5Q0919673AM,Çok Acil,Express Uçak,VOLKSWAGEN A.G.,3.0000000000,Gönderildi,2024-01-12,Fatura Antrepo girişi,1.0,2024-01-14
878,2024-10-502  ,5WA199262G,Stok,Kamyon,VOLKSWAGEN A.G.,1.0000000000,Sipariş,2024-03-04,Faturalandırıldı,5.25,2024-03-17
879,2024-7-21    ,2409546,Stok,Kamyon,SCANIA CV AB,1.0000000000,Sipariş,2024-02-13,Faturalandırıldı,10.5,2024-03-10
880,2024-6-501   ,575827852G,Stok,Kamyon,SEAT,1.0000000000,Sipariş,2024-02-05,Faturalandırıldı,10.0,2024-03-01
